epoch,accuracy,loss,val_accuracy,val_loss
0,0.7390000224113464,0.8280969858169556,0.8725000023841858,0.30054667592048645
1,0.8339999914169312,0.3982587456703186,0.8725000023841858,0.32048943638801575
2,0.8519999980926514,0.35175222158432007,0.893750011920929,0.26524943113327026
3,0.8999999761581421,0.23958411812782288,0.7875000238418579,0.6902760863304138
4,0.9150000214576721,0.2161104828119278,0.8987500071525574,0.2907576858997345
5,0.9340000152587891,0.17414823174476624,0.8987500071525574,0.28335991501808167
6,0.9490000009536743,0.13800878822803497,0.8712499737739563,0.3966093957424164
7,0.9440000057220459,0.13836844265460968,0.8525000214576721,0.5455749034881592
8,0.949999988079071,0.13446079194545746,0.8999999761581421,0.3206501007080078
9,0.9629999995231628,0.0978030189871788,0.8849999904632568,0.3974071741104126
